frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
248,10.048783833435396,1,,75.0,29,75.0,,,,,,,29.5,74.9,HOLD_PREVIOUS,1
249,10.089303123086344,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
250,10.129822412737294,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
251,10.170341702388242,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
252,10.210860992039192,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
253,10.25138028169014,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
254,10.29189957134109,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
255,10.332418860992039,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
256,10.37293815064299,1,,74.9,29,74.90,,,,,,,29.5,74.9,HOLD_PREVIOUS,1
257,10.413457440293937,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
258,10.453976729944888,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
259,10.494496019595836,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
260,10.535015309246786,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
261,10.575534598897734,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
262,10.616053888548684,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
263,10.656573178199633,0,,,,,,,,,,,29.5,74.9,UNSAMPLED,0
264,10.697092467850583,1,29.4,45.0,29.4,45.00,29.4,75.0,29.4,75.00,green_difference/PSM7,green_channel_otsu/PSM7,29.4,75.0,ACCEPT_RETRY,1
265,10.737611757501531,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
266,10.778131047152481,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
267,10.81865033680343,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
